Rain SprinklerOn Humidity Temperature WetGround
1 0 29.11 16.09 1
0 1 47.62 18.93 0
0 0 60.59 26.68 0
0 1 89.94 24.7 1
0 0 59.48 26.26 0
1 1 76.18 5.25 1
1 0 99.43 11.53 1
0 1 30.52 24.85 0
0 0 41.98 19.52 0
0 1 51.57 5.16 1
0 0 53.75 29.13 0
0 0 52.88 28.18 0
0 0 92.61 21.45 0
1 0 77.12 6.99 1
0 1 68.63 28.0 1
0 0 44.75 22.51 0
1 1 85.9 28.46 1
1 0 96.4 27.55 1
0 0 85.7 29.09 0
0 1 20.13 20.54 0
0 1 70.91 9.21 1
0 0 24.09 25.13 0
0 0 40.61 23.61 0
1 1 24.76 27.27 1
0 0 68.3 10.1 0
0 1 74.93 10.85 1
0 1 29.16 31.71 0
0 1 50.71 27.5 1
1 0 56.5 32.25 1
1 1 49.52 27.76 1
0 0 29.68 22.91 0
0 0 53.52 24.62 0
0 0 80.09 31.67 0
0 0 25.68 22.36 0
0 1 26.41 23.97 0
0 1 48.38 9.69 0
0 1 95.34 19.22 1
0 0 73.49 26.49 0
0 0 74.29 13.13 0
0 0 48.95 11.07 0
0 1 67.49 14.41 1
0 0 20.81 12.25 0
0 1 70.89 11.45 1
1 0 93.06 17.75 1
0 0 69.01 32.24 0
0 1 89.9 20.21 1
0 0 77.92 10.64 0
0 1 29.64 7.31 0
0 1 92.2 25.88 1
0 0 25.32 16.48 0
1 0 62.72 29.65 1
0 0 31.37 24.79 0
0 1 20.94 28.89 0
0 0 53.76 13.16 0
0 1 43.6 25.77 0
0 1 58.88 12.92 1
1 1 66.18 33.17 1
0 0 23.5 24.09 0
1 1 29.84 14.74 1
1 1 64.69 13.09 1
0 0 47.45 10.73 0
0 0 78.33 25.84 0
0 1 72.18 11.56 1
0 0 87.65 22.86 0
0 1 75.4 12.94 1
0 0 54.39 24.86 0
0 0 73.84 29.45 0
0 1 42.03 28.34 0
1 0 44.51 27.83 1
0 0 83.12 10.63 0
1 0 55.71 7.65 1
0 0 83.87 25.97 0
0 0 85.79 16.05 0
0 0 88.6 17.97 0
0 1 93.33 5.93 1
1 0 54.48 12.79 1
1 1 45.51 6.01 1
1 0 66.58 31.38 1
0 1 49.69 12.3 0
0 0 68.09 21.72 0
1 1 76.45 6.17 1
1 0 75.07 25.01 1
1 0 49.96 14.69 1
0 0 33.35 31.94 0
0 0 54.44 31.64 0
1 0 31.41 14.76 1
0 0 91.21 32.03 0
1 1 47.67 34.88 1
1 0 32.36 29.76 1
0 0 22.04 30.35 0
1 1 71.67 12.47 1
1 1 70.95 22.3 1
0 0 47.25 7.02 0
1 0 25.74 7.85 1
0 0 52.77 34.97 0
1 1 44.9 14.8 1
0 1 74.17 27.45 1
1 0 68.46 29.2 1
0 1 49.17 30.74 0
0 1 37.43 34.93 0
1 0 99.04 12.24 1
0 1 56.32 6.21 1
0 0 75.06 17.34 0
1 0 31.24 8.9 1
1 0 58.85 5.67 1
0 0 22.2 15.81 0
0 0 60.44 28.51 0
0 1 97.12 21.99 1
0 0 50.74 14.38 0
0 0 23.12 24.63 0
0 0 22.48 11.96 0
1 1 51.04 5.43 1
1 0 32.8 27.93 1
1 0 21.87 23.71 1
0 0 80.5 27.87 0
0 0 56.68 6.17 0
0 1 43.14 30.11 0
0 1 92.01 23.59 1
0 0 29.29 21.9 0
1 1 96.47 23.74 1
0 1 45.12 30.93 0
0 1 91.07 22.61 1
0 0 68.24 22.43 0
1 0 86.14 34.72 1
0 0 98.72 27.7 0
0 1 43.07 18.27 0
0 0 96.89 26.22 0
1 0 51.16 16.68 1
0 0 50.84 11.87 0
1 1 47.23 22.91 1
1 0 63.31 32.85 1
0 1 32.33 32.87 0
0 1 64.3 15.26 1
1 0 63.34 20.83 1
0 1 80.95 11.35 1
0 0 86.69 34.87 0
1 1 55.24 34.43 1
1 0 44.19 24.49 1
1 1 40.75 29.13 1
1 1 35.57 26.45 1
0 1 24.61 22.79 0
0 1 47.4 6.6 0
1 0 41.62 18.64 1
0 1 97.31 25.24 1
0 1 64.62 25.33 1
1 0 47.78 16.19 1
0 0 66.44 33.25 0
0 1 31.14 10.02 0
0 1 55.52 20.01 1
0 1 70.1 25.73 1
0 0 59.11 25.91 0
0 1 52.14 24.46 1
0 0 99.51 13.26 0
0 1 90.43 9.69 1
1 0 69.87 24.08 1
0 1 65.55 22.98 1
1 1 69.65 10.38 1
0 0 36.1 26.15 0
0 1 51.61 18.66 1
1 0 23.16 25.03 1
0 1 58.04 30.12 1
1 1 63.44 10.09 1
0 0 38.22 5.57 0
1 1 97.12 28.37 1
0 1 92.76 23.29 1
1 0 77.77 25.99 1
0 0 62.67 30.14 0
1 1 89.6 29.08 1
0 1 30.45 33.83 0
0 1 83.24 21.08 1
1 1 29.99 19.65 1
0 0 83.54 17.06 0
0 1 42.06 9.61 0
0 0 90.17 22.18 0
0 0 95.52 13.31 0
0 0 31.9 32.64 0
0 0 57.01 22.5 0
1 0 98.48 22.79 1
0 0 58.67 15.65 0
0 1 89.08 6.56 1
1 0 67.1 5.95 1
1 0 50.03 17.7 1
0 0 42.86 7.54 0
0 0 36.26 23.21 0
0 0 80.94 31.43 0
0 0 50.92 31.49 0
0 1 60.9 24.77 1
0 1 59.39 11.34 1
0 1 66.18 30.89 1
0 0 89.25 31.58 0
1 0 98.46 10.9 1
1 1 52.61 27.12 1
0 0 86.2 13.6 0
0 0 81.16 29.08 0
0 0 65.88 34.92 0
1 0 96.48 5.9 1
0 0 36.04 31.92 0
0 0 28.74 23.68 0
1 0 88.32 34.2 1
1 0 55.13 18.95 1
1 1 87.76 30.42 1
1 1 91.45 6.87 1
0 1 25.0 15.06 0
0 1 90.68 7.01 1
1 1 55.87 34.26 1
1 0 60.83 29.51 1
0 0 70.13 30.58 0
0 0 94.11 33.14 0
0 1 21.53 7.55 0
1 1 58.15 16.57 1
1 0 75.02 7.13 1
0 1 77.82 11.32 1
0 0 75.4 11.88 0
0 1 30.75 19.07 0
1 0 43.95 13.06 1
1 0 48.7 8.03 1
1 0 84.35 10.02 1
0 0 42.3 9.42 0
0 0 36.86 34.19 0
0 0 96.6 27.78 0
0 1 20.71 34.03 0
1 0 99.83 18.19 1
1 0 74.15 13.35 1
1 1 86.28 28.95 1
1 1 43.57 14.79 1
0 0 21.15 13.98 0
1 0 79.03 11.98 1
1 0 86.73 8.89 1
1 0 79.24 12.69 1
0 1 31.43 15.66 0
0 0 80.27 25.22 0
0 0 81.51 6.88 0
1 1 72.68 11.32 1
0 0 81.29 29.27 0
0 0 87.67 9.41 0
0 0 69.09 15.28 0
0 1 27.09 30.94 0
0 0 59.01 9.65 0
0 1 26.21 7.48 0
0 0 52.6 19.54 0
0 0 52.57 14.07 0
1 1 25.28 21.9 1
0 1 47.91 29.11 0
1 1 28.88 9.11 1
0 1 84.66 22.42 1
0 1 95.82 20.17 1
1 0 25.79 9.32 1
0 0 96.41 23.72 0
0 1 61.81 13.21 1
0 0 43.97 19.64 0
1 1 26.15 7.47 1
0 1 60.05 18.79 1
1 0 83.56 14.19 1
0 0 76.57 29.67 0
0 1 24.02 6.71 0
0 0 25.83 17.56 0
0 1 52.23 18.75 1
0 0 43.62 26.75 0
0 1 38.59 22.23 0
0 0 42.48 25.02 0
1 1 84.28 28.31 1
0 0 94.34 30.87 0
0 0 52.41 14.42 0
1 0 92.49 21.14 1
0 1 45.72 30.2 0
0 1 58.11 34.68 1
1 0 38.08 31.69 1
1 0 71.24 16.14 1
0 0 98.32 10.85 0
1 1 68.28 19.68 1
0 1 48.63 27.25 0
0 0 71.83 19.78 0
0 0 29.83 19.5 0
1 0 91.09 30.15 1
0 0 60.25 15.84 0
0 0 55.95 30.79 0
0 1 66.87 17.2 1
0 0 69.98 14.85 0
0 1 25.74 18.62 0
0 0 74.61 27.87 0
0 0 39.35 8.78 0
0 1 77.12 10.89 1
0 1 85.8 33.54 1
0 1 84.32 10.26 1
0 0 64.2 22.03 0
0 0 61.61 22.38 0
1 1 31.43 19.69 1
0 0 82.03 24.34 0
0 0 41.71 11.89 0
0 0 59.74 21.58 0
0 0 42.74 16.17 0
0 1 30.71 24.85 0
0 0 70.36 9.24 0
0 0 24.35 22.13 0
0 0 79.89 10.56 0
0 0 45.41 13.36 0
0 0 20.01 11.56 0
0 0 60.89 10.49 0
0 0 23.75 29.77 0
0 1 42.09 13.57 0
0 0 76.56 32.81 0
0 0 25.02 34.1 0
0 1 87.15 22.14 1
1 1 20.31 9.29 1
0 0 39.75 16.24 0
0 0 79.27 28.93 0
1 0 45.3 16.02 1
1 1 28.15 7.61 1
0 1 48.82 21.7 0
0 1 41.63 30.35 0
1 0 87.42 28.88 1
1 1 45.07 10.25 1
0 0 83.11 25.18 0
0 0 91.35 11.62 0
0 0 54.71 11.55 0
0 1 92.8 31.22 1
0 0 50.19 12.49 0
0 1 97.13 12.9 1
0 0 27.14 5.02 0
1 0 74.96 31.12 1
0 0 59.51 28.78 0
0 0 51.01 23.82 0
1 1 70.62 27.51 1
1 0 76.31 9.56 1
0 1 20.35 18.75 0
0 1 33.36 15.54 0
0 1 77.04 7.81 1
0 0 73.31 19.58 0
0 0 97.28 32.62 0
0 0 80.88 6.2 0
0 1 96.06 13.74 1
0 1 76.2 11.23 1
0 0 43.84 12.14 0
0 1 28.43 32.25 0
0 0 82.55 19.04 0
0 1 71.53 18.99 1
0 0 23.85 27.82 0
1 1 48.8 9.63 1
0 0 96.54 19.62 0
0 1 60.03 17.9 1
1 1 54.62 22.91 1
0 1 56.62 34.99 1
0 0 36.71 28.08 0
0 0 49.5 16.94 0
0 0 49.59 29.83 0
1 0 24.19 10.12 1
0 0 81.41 5.91 0
0 1 53.32 11.13 1
0 0 85.77 15.21 0
0 0 88.03 20.32 0
0 0 36.96 23.45 0
0 0 72.59 32.32 0
0 1 57.78 20.3 1
1 0 90.41 20.04 1
0 1 37.26 6.51 0
0 0 74.23 6.05 0
0 1 68.62 21.53 1
0 1 43.62 18.15 0
0 0 30.93 30.18 0
0 1 72.13 9.82 1
0 0 79.09 5.75 0
0 1 45.25 18.47 0
0 0 71.59 12.12 0
1 1 51.61 6.49 1
0 1 77.06 26.74 1
0 1 35.94 8.35 0
0 1 91.22 23.25 1
1 0 42.99 13.43 1
0 0 49.42 10.2 0
0 0 24.65 16.39 0
1 0 28.92 29.04 1
1 1 61.27 16.76 1
1 0 41.41 27.52 1
0 1 86.84 8.76 1
0 1 21.18 28.18 0
0 1 50.33 12.11 1
1 0 46.99 25.32 1
0 1 21.55 21.97 0
0 1 29.95 32.87 0
0 0 53.09 16.62 0
1 1 59.43 6.98 1
0 1 52.34 5.57 1
0 0 62.48 29.81 0
0 0 67.61 20.74 0
0 0 20.79 28.26 0
0 0 57.13 12.03 0
0 0 97.08 15.35 0
0 0 61.52 5.9 0
0 0 74.2 33.84 0
0 0 44.95 25.04 0
0 1 81.92 33.0 1
0 0 81.83 12.96 0
0 1 61.7 23.34 1
0 0 98.08 25.35 0
0 0 30.04 14.53 0
0 0 21.36 30.44 0
0 0 81.61 33.41 0
1 0 84.57 31.55 1
0 1 29.62 27.17 0
1 0 41.25 13.32 1
0 1 21.4 13.45 0
0 1 43.46 33.9 0
1 0 81.85 5.31 1
0 0 61.44 26.48 0
0 1 47.85 26.19 0
0 0 49.74 23.68 0
0 0 20.11 34.7 0
1 1 43.98 14.36 1
1 0 71.72 15.2 1
1 1 97.94 7.37 1
0 1 87.76 18.28 1
1 0 21.89 12.83 1
1 0 91.88 15.3 1
0 0 82.66 30.04 0
0 0 82.43 33.06 0
1 0 56.64 10.57 1
0 1 51.84 16.18 1
1 0 44.23 32.86 1
0 0 25.26 6.85 0
1 1 38.26 7.77 1
0 1 39.73 9.88 0
0 1 58.73 22.86 1
0 0 79.8 9.51 0
1 1 57.9 34.04 1
0 0 24.63 18.4 0
0 0 96.62 20.05 0
0 0 95.42 12.4 0
1 1 82.82 19.13 1
0 0 99.31 24.86 0
1 0 63.56 27.54 1
0 0 97.02 27.62 0
0 0 26.05 22.34 0
0 1 49.25 32.13 0
0 1 38.03 29.52 0
1 1 35.67 27.71 1
0 0 31.26 6.67 0
0 0 69.79 5.21 0
1 0 82.51 11.37 1
0 0 66.26 24.91 0
0 0 31.76 17.34 0
1 1 84.89 17.07 1
0 0 70.88 31.54 0
0 0 51.05 31.87 0
1 0 73.93 32.28 1
0 0 40.79 14.42 0
0 0 47.62 25.73 0
0 1 93.4 13.15 1
1 1 43.24 10.72 1
0 1 57.6 10.54 1
0 0 91.21 15.26 0
1 0 76.62 17.9 1
1 0 24.98 29.93 1
0 0 31.78 8.6 0
0 1 20.63 27.05 0
0 0 70.47 20.94 0
1 0 55.81 13.64 1
0 0 30.74 19.78 0
0 0 96.63 14.0 0
1 1 62.37 22.88 1
1 0 39.35 18.02 1
0 0 60.05 9.93 0
1 0 74.37 8.5 1
0 0 26.1 21.4 0
1 1 41.98 32.07 1
0 1 84.56 15.32 1
0 1 56.77 26.99 1
1 1 63.73 24.76 1
0 0 54.63 32.95 0
0 1 23.51 29.63 0
1 0 33.26 22.0 1
1 0 55.64 24.71 1
0 1 36.73 31.95 0
0 0 24.0 16.99 0
0 1 87.49 14.8 1
0 0 98.5 5.32 0
0 1 83.45 29.8 1
0 1 88.3 29.03 1
1 1 39.36 8.13 1
0 1 96.85 22.31 1
0 1 35.75 18.92 0
0 0 96.11 8.56 0
1 0 99.59 34.42 1
0 0 76.94 11.44 0
0 1 98.49 7.02 1
0 0 65.56 22.85 0
0 1 40.76 27.17 0
0 0 54.96 5.97 0
1 0 67.48 24.76 1
1 1 25.85 20.97 1
0 0 69.79 8.1 0
0 0 98.49 10.18 0
1 0 35.21 22.04 1
1 1 83.41 13.89 1
0 1 92.63 33.15 1
0 0 95.5 29.56 0
0 0 96.81 34.51 0
0 0 61.72 12.79 0
1 1 98.18 34.09 1
1 1 80.58 17.94 1
1 0 32.93 15.43 1
0 0 58.15 6.51 0
0 0 77.47 6.58 0
1 1 39.79 25.76 1
1 1 71.25 18.74 1
0 0 73.33 11.8 0
1 0 33.02 23.42 1
1 0 65.21 12.59 1
0 1 81.73 22.33 1
0 0 59.91 15.78 0
0 1 20.97 29.71 0
0 1 20.72 29.62 0
0 0 48.56 19.32 0
1 0 94.1 15.52 1
0 0 38.29 15.88 0
0 1 70.75 29.17 1
0 1 37.77 14.85 0
0 1 45.73 11.27 0
1 0 87.84 7.54 1
0 0 78.31 19.0 0
0 1 27.63 19.46 0
1 1 54.3 30.23 1
0 0 22.33 11.64 0
0 1 58.47 16.43 1
0 1 72.99 29.25 1
0 0 29.48 29.71 0
0 1 43.11 16.54 0
0 1 51.83 18.77 1
0 1 93.56 14.1 1
1 0 99.46 32.98 1
0 0 23.59 8.56 0
0 1 80.88 33.01 1
0 0 49.74 25.52 0
0 0 51.4 20.95 0
0 0 80.34 5.98 0
0 0 93.47 19.27 0
1 1 96.07 17.23 1
0 1 66.17 9.84 1
0 0 48.57 24.69 0
0 0 83.0 34.13 0
1 0 40.08 21.87 1
0 1 65.13 26.44 1
0 1 48.69 7.05 0
0 0 72.53 17.53 0
1 1 39.23 8.49 1
0 1 35.33 23.38 0
1 1 93.46 33.15 1
0 1 28.14 24.85 0
0 0 60.48 7.3 0
0 1 37.67 15.64 0
0 0 23.11 21.52 0
0 1 22.88 17.1 0
0 1 34.02 30.01 0
1 1 89.34 29.44 1
0 1 42.6 23.35 0
0 0 96.04 16.2 0
0 0 66.53 12.66 0
0 1 54.93 8.18 1
0 1 66.41 15.65 1
0 0 61.34 17.4 0
0 0 80.7 25.27 0
1 0 42.6 24.74 1
1 1 48.24 7.1 1
0 1 91.53 16.86 1
0 0 95.72 10.45 0
0 0 91.4 9.7 0
0 1 53.56 29.82 1
0 1 82.43 6.26 1
0 0 58.11 17.58 0
1 0 59.8 10.05 1
0 0 36.37 31.38 0
0 0 67.29 21.71 0
0 0 34.89 11.94 0
0 1 46.53 20.07 0
0 1 88.4 26.94 1
0 1 36.57 33.74 0
0 1 25.69 11.61 0
1 0 25.52 31.59 1
0 0 95.26 33.03 0
0 0 60.55 32.49 0
0 0 52.75 24.06 0
0 1 84.87 23.89 1
0 1 86.87 17.1 1
1 0 46.58 27.57 1
1 0 75.49 20.94 1
1 1 81.69 25.32 1
0 0 72.37 17.85 0
0 0 32.13 26.94 0
0 1 90.07 29.73 1
0 1 63.13 9.39 1
1 0 42.6 29.99 1
0 0 54.02 21.21 0
0 1 23.01 30.34 0
0 0 30.23 17.94 0
0 0 81.24 16.37 0
0 1 20.0 32.45 0
0 0 53.33 12.54 0
0 1 61.8 30.33 1
1 0 24.37 19.52 1
1 1 97.85 20.42 1
0 0 38.09 14.25 0
0 0 44.34 22.19 0
0 0 44.32 14.76 0
0 0 38.43 6.18 0
0 1 20.12 13.16 0
0 1 78.35 5.19 1
0 0 97.35 34.35 0
0 0 37.94 33.97 0
0 1 73.04 16.85 1
0 1 79.35 26.85 1
1 0 87.87 15.37 1
1 0 53.81 25.13 1
0 0 44.23 29.16 0
1 1 46.02 33.4 1
0 0 77.01 17.01 0
1 1 85.34 28.5 1
1 0 34.53 12.98 1
0 1 49.68 34.71 0
0 0 92.16 5.77 0
0 0 84.54 23.11 0
0 0 98.79 24.79 0
0 1 80.34 25.64 1
0 0 51.46 8.61 0
0 0 67.25 33.16 0
1 0 72.88 10.44 1
1 0 26.28 23.68 1
0 1 63.56 11.68 1
0 1 76.75 14.22 1
0 1 33.39 21.39 0
0 0 82.45 17.52 0
1 1 66.7 9.81 1
0 0 96.18 10.13 0
0 0 23.39 17.54 0
0 0 41.23 27.72 0
0 0 68.12 31.94 0
0 1 43.72 7.52 0
1 1 77.15 16.79 1
0 1 80.72 8.01 1
0 0 28.2 5.5 0
0 0 61.11 24.85 0
1 0 60.71 23.07 1
1 0 49.54 9.89 1
0 0 94.63 12.01 0
0 0 86.2 5.71 0
0 0 75.78 30.05 0
0 0 77.15 34.24 0
1 1 56.94 9.06 1
0 1 93.68 11.94 1
0 1 75.57 31.05 1
0 1 78.32 32.79 1
0 0 88.94 17.59 0
0 1 41.93 6.52 0
1 1 84.57 6.18 1
0 0 35.62 22.22 0
0 0 47.63 16.79 0
0 1 46.85 5.86 0
0 0 98.28 22.5 0
0 0 88.52 5.34 0
0 0 76.09 28.62 0
1 0 78.16 14.19 1
0 0 64.97 6.21 0
0 0 95.77 22.65 0
0 0 59.7 16.93 0
0 0 50.44 34.21 0
1 1 33.04 21.33 1
1 0 82.9 13.26 1
0 0 78.76 26.28 0
0 0 50.75 13.14 0
0 1 22.02 32.13 0
0 0 87.12 16.24 0
0 0 20.91 21.5 0
0 1 76.3 6.52 1
0 1 97.62 17.78 1
0 0 55.01 29.97 0
1 1 38.8 29.17 1
0 0 76.39 11.73 0
0 0 85.37 11.78 0
1 0 63.71 29.52 1
0 0 97.36 32.91 0
0 1 24.13 7.86 0
0 0 60.38 18.5 0
0 0 77.48 15.12 0
1 1 89.01 31.12 1
1 1 34.34 7.51 1
0 0 84.0 11.33 0
0 1 64.22 27.57 1
0 0 51.72 6.54 0
0 1 30.54 19.78 0
0 1 89.22 18.26 1
