Category Age Income Region Temperature Purchases Rating
2 40 64225 1 0.6363947512114478 2 1.7080419371069873
5 35 43720 1 37.30972714408451 4 1.3548101350282225
2 23 53582 2 29.064802523560125 8 1.4825434844024032
1 42 40496 4 -4.3267698991276 1 2.843115072130903
4 39 68921 1 36.546455284364626 9 1.82533487362317
4 24 26527 3 38.71241042672051 7 2.457079444192302
4 28 20414 1 39.79656210151646 1 3.0136690834194275
5 43 70231 2 -7.206442266132498 4 3.761579314517461
1 41 35541 2 26.851777839550444 6 1.1572485593643957
5 27 25675 2 17.295788508249448 7 4.197641595636171
5 32 51742 4 25.29157419393473 0 3.511601557963631
1 33 24061 1 38.432597198706745 5 1.3270361277954876
1 41 90929 4 24.40150050875195 0 4.4943144964271085
1 47 22209 4 31.84819371186869 1 4.683489602127253
1 35 66309 2 33.34343526554207 0 1.244311839419455
4 46 55077 2 31.924038188199255 4 2.107510592588815
3 43 73762 4 11.304573752347057 9 4.224805119172245
3 37 46252 1 1.128820878551526 8 3.9930387615346334
1 20 32403 3 9.832580097712594 5 1.7380840774255093
3 24 98547 4 34.59484543883883 0 1.8373972933468412
3 42 87114 1 -2.6697589153987256 0 2.481888411165528
1 17 88832 2 15.666308434619644 1 2.9380919407640853
3 36 40020 2 1.6614036212263912 8 3.473019086121184
5 45 23106 1 19.065270861339116 2 2.4756545582790896
2 36 44261 3 33.156926099450196 0 2.8501388645325916
2 28 62966 2 34.01799843192084 4 3.989883752535026
1 26 46132 2 1.8342596841039374 6 1.1467328115623916
